"gamma","sigma","scenario","p","ratio","Bias","MSE","Var","Coverage"
0.5,0.5,1,0.3,1,0.00339149896065119,0.00453798659850633,0.00457220639727902,95
0.5,0.5,2,0.3,1,-0.0107895019573974,0.0901349455982628,0.0909370886972616,95.959595959596
0.5,0.5,3,0.3,1,0.00133262915564484,0.00537307042222373,0.00542555002197702,95
0.5,0.5,4,0.3,1,0.00224214942952052,0.00030455071333014,0.000302548968955395,96
0.5,0.5,5,0.3,1,0.00188911698280673,0.00397296103271228,0.00400948714114904,97
0.5,0.5,1,0.3,2,-0.00502916418348351,0.0088971413048984,0.0089614634469838,95
0.5,0.5,2,0.3,2,0.0760840875645773,0.0999731782024495,0.0951654772158935,96.9072164948454
0.5,0.5,3,0.3,2,-0.00723971060437784,0.00709921509724317,0.00711798150263437,92
0.5,0.5,4,0.3,2,0.00199476204114367,0.000258156525952786,0.000256744899345453,98
0.5,0.5,5,0.3,2,0.00715980958266384,0.00348482904181711,0.00346824865510819,96
0.5,0.5,1,0.3,5,-0.0269968671044659,0.022153366544388,0.0216409451625574,95
0.5,0.5,2,0.3,5,0.0594053698368893,0.137676736923452,0.135530705339004,93.8775510204082
0.5,0.5,3,0.3,5,-0.00129623005477847,0.00694434530404356,0.00701279302190772,95
0.5,0.5,4,0.3,5,0.00130970753250306,0.000296047775887961,0.000297305497037642,96
0.5,0.5,5,0.3,5,-0.000719537250689106,0.00380638902215958,0.00384431443263076,95
0.5,0.5,1,0.3,10,-0.0175673929408553,0.0313982443851316,0.0314036677680739,99
0.5,0.5,2,0.3,10,-0.00845125925676123,0.208579678203508,0.210750278661563,93.6170212765958
0.5,0.5,3,0.3,10,0.00291853572599415,0.00655105544887776,0.00660862383645844,98
0.5,0.5,4,0.3,10,-0.001025517082196,0.000349157155659125,0.000351621687245706,93
0.5,0.5,5,0.3,10,-0.0062410556556172,0.0036130014155928,0.0036101521615114,95
0.5,0.5,1,0.3,20,-0.0206616491424386,0.115211190846686,0.115943724344849,93
0.5,0.5,2,0.3,20,-0.106300139164459,0.279537438225153,0.271356761878755,91.9540229885057
0.5,0.5,3,0.3,20,0.00232251216845041,0.00903025460284841,0.00911602074755132,95
0.5,0.5,4,0.3,20,-0.00199442714217289,0.000451122775287004,0.000451661652183402,96
0.5,0.5,5,0.3,20,-0.0175756254447254,0.00447114763102395,0.0042042879002532,95
0.5,0.5,1,0.3,30,-0.05474490118193,0.158161175760535,0.156731486419308,96
0.5,0.5,2,0.3,30,-0.0601128664847786,0.6566891923927,0.661138297844518,91.4634146341463
0.5,0.5,3,0.3,30,-0.000221277347800769,0.00991559044645942,0.0100156984674695,98
0.5,0.5,4,0.3,30,-0.00255769140317411,0.000617150087921596,0.000616776063240127,93
0.5,0.5,5,0.3,30,0.00190899957236627,0.00481629086665079,0.00486125917907424,95
0.5,0.5,1,0.3,40,-0.080706428311148,0.159290009690881,0.154319678909231,96
0.5,0.5,2,0.3,40,0.0456623663982888,0.474652570076339,0.478127136234438,96.5116279069768
0.5,0.5,3,0.3,40,-0.0187903576396961,0.0232072200707548,0.0230849924550779,92
0.5,0.5,4,0.3,40,-0.00121516862747681,0.000849516748390629,0.000856606175350934,94
0.5,0.5,5,0.3,40,0.000986433113748996,0.00380340773951849,0.00384084312043494,96
0.5,0.5,1,0.3,50,-0.0541548357708695,0.250152282112157,0.249716702903825,96
0.5,0.5,2,0.3,50,0.033231697508805,0.490511520277929,0.496111382429278,95.9459459459459
0.5,0.5,3,0.3,50,-0.00132511449440639,0.030203562938341,0.0305068757675936,92
0.5,0.5,4,0.3,50,0.000371746629708855,0.000832413481800773,0.000840682107317245,95
0.5,0.5,5,0.3,50,-0.000132636560927964,0.00305955533714275,0.00309044216634895,98
0.5,0.5,1,0.3,60,0.0618710553489514,0.320360883021746,0.319730157102781,95
0.5,0.5,2,0.3,60,-0.00397582512948807,1.3990733317898,1.42277036400441,96.6666666666667
0.5,0.5,3,0.3,60,-0.0107436672126017,0.0380333032107717,0.0383087827722522,93.8775510204082
0.5,0.5,4,0.3,60,-0.00414595325474693,0.000977184839591914,0.00096969283959734,96
0.5,0.5,5,0.3,60,-0.00660530742045525,0.00407642045764667,0.004073525627806,93
0.5,0.5,1,0.3,70,0.0410695147794878,0.387276317528842,0.38956476312879,95.9183673469388
0.5,0.5,2,0.3,70,0.130481138313353,1.75387250722128,1.76628526755837,93.3333333333333
0.5,0.5,3,0.3,70,0.0127424302058121,0.0369167953575283,0.0371256826565438,95
0.5,0.5,4,0.3,70,0.0044029664804391,0.00146947853509566,0.00146473981946241,94
0.5,0.5,5,0.3,70,0.0147339609148536,0.00507761016475908,0.00490961672779661,92
0.5,0.5,1,0.3,80,-0.110235575216891,0.369839914589138,0.361534140422575,93.6170212765958
0.5,0.5,2,0.3,80,-0.0276922320650047,2.54733251689448,2.57228854260378,NA
0.5,0.5,3,0.3,80,0.0156973435843365,0.0709474057348305,0.0714298754190116,93.8775510204082
0.5,0.5,4,0.3,80,-0.00206236792777009,0.00143733974648982,0.00144756200507104,97
0.5,0.5,5,0.3,80,-0.0026417413887742,0.00414067425879606,0.00417544996083929,97
0.5,0.5,1,0.3,90,-0.0211489959601467,0.631350784172075,0.637407663978467,95.9183673469388
0.5,0.5,2,0.3,90,-0.0078373134016235,1.64375069515406,1.66029219360879,NA
0.5,0.5,3,0.3,90,-0.0341456483971801,0.0628873180653049,0.0623643239354332,95.8762886597938
0.5,0.5,4,0.3,90,0.00334999384479541,0.0017184948516782,0.00172451756860407,94
0.5,0.5,5,0.3,90,-0.00693001489874243,0.00434908078900245,0.00434450068939966,96
0.5,0.5,1,0.3,100,0.0477283733274872,0.532480383654236,0.535668390013477,90.8163265306122
0.5,0.5,2,0.3,100,-0.00109305582386075,2.03403812199173,2.05458275476838,NA
0.5,0.5,3,0.3,100,-0.00616264027634338,0.0712887024708235,0.0719929193808109,94.8453608247423
0.5,0.5,4,0.3,100,-0.0122014325384175,0.00243944616355336,0.00231370829046849,94
0.5,0.5,5,0.3,100,0.0111568591103062,0.00393387114683198,0.00384787438547955,98
0.5,0.5,1,0.5,1,-0.000411374072238664,0.00308436513198918,0.00311534939733523,96
0.5,0.5,2,0.5,1,-0.0408629735668109,0.0784502439332706,0.0775639354196973,95.959595959596
0.5,0.5,3,0.5,1,-0.00244383928928312,0.0042449274669391,0.00428177284491642,95
0.5,0.5,4,0.5,1,0.00189433862887224,0.000264322354597302,0.000263367510865115,94
0.5,0.5,5,0.5,1,0.00552956037499523,0.00462969475766604,0.00464557446436901,97
0.5,0.5,1,0.5,2,0.00766653400708842,0.00674793421913953,0.00675672573278554,97
0.5,0.5,2,0.5,2,-0.0220805476874479,0.108600386023064,0.109204884279684,93
0.5,0.5,3,0.5,2,-0.0023034903927126,0.00354718259728773,0.00357765305989738,97
0.5,0.5,4,0.5,2,-0.000605485910499953,0.000232802778417258,0.000234784005282266,97
0.5,0.5,5,0.5,2,0.00650347937893765,0.00548625456446358,0.00549894880851647,90
0.5,0.5,1,0.5,5,-0.0107261455421592,0.0197852010438931,0.0198688392380824,96
0.5,0.5,2,0.5,5,-0.0133010562386284,0.0822332932089579,0.0828936850620161,96.969696969697
0.5,0.5,3,0.5,5,0.00471798192466951,0.00587429397425398,0.00591114608162877,96
0.5,0.5,4,0.5,5,-0.00201862531366389,0.000317983294979145,0.000317079239214323,92
0.5,0.5,5,0.5,5,-0.00237161333117223,0.00485118777359598,0.00489450830687211,95
0.5,0.5,1,0.5,10,0.000255530604640729,0.0424551974455342,0.0428839718683276,94
0.5,0.5,2,0.5,10,0.029640150744733,0.141178235460823,0.141746085552741,92.8571428571429
0.5,0.5,3,0.5,10,0.00990785502722185,0.00526471714119103,0.00521873893934403,97
0.5,0.5,4,0.5,10,-0.000593382969701416,0.000327917104845495,0.000330873738885619,93
0.5,0.5,5,0.5,10,-4.21916861315266e-05,0.00466640311561675,0.00471353670250341,94
0.5,0.5,1,0.5,20,0.00647651173359701,0.0780121424241513,0.0787577749696121,97
0.5,0.5,2,0.5,20,-0.0335427803649166,0.225472640162603,0.226613658634338,98
0.5,0.5,3,0.5,20,-0.0112610466731821,0.00757025001120334,0.00751862508992702,97
0.5,0.5,4,0.5,20,-0.00252289641663845,0.000393672614137137,0.000391219805866717,96
0.5,0.5,5,0.5,20,-0.0102259181766616,0.00361382945511882,0.00354470712380105,95
0.5,0.5,1,0.5,30,0.00454768180239989,0.123685715013879,0.12491417535768,97
0.5,0.5,2,0.5,30,0.0456975878775744,0.450234233978993,0.453418269905178,93.0232558139535
0.5,0.5,3,0.5,30,-0.0102777805860517,0.0113130686792028,0.0113206423287149,94
0.5,0.5,4,0.5,30,-0.00371289940291824,0.000520497587595273,0.000511830268302104,93
0.5,0.5,5,0.5,30,-0.00397552501444207,0.00428125010242211,0.00430853060937541,95
0.5,0.5,1,0.5,40,-0.077066151771882,0.143847303246811,0.139301122725136,97
0.5,0.5,2,0.5,40,0.0299755431544374,0.586852554442669,0.592254602128978,93.6170212765958
0.5,0.5,3,0.5,40,0.0112462185062106,0.0171859490684705,0.0172317895331122,96
0.5,0.5,4,0.5,40,-0.00198412881723575,0.000564648295678829,0.000566375281328731,96
0.5,0.5,5,0.5,40,0.00174116898254754,0.0038189597144331,0.00385447277273467,95
0.5,0.5,1,0.5,50,-0.0447801834706971,0.218215829137833,0.218394509400165,94
0.5,0.5,2,0.5,50,-0.0660542457755277,0.775419611489469,0.780235691534311,92.9411764705882
0.5,0.5,3,0.5,50,-0.0057141788435689,0.0165258749237159,0.0166598212968279,95
0.5,0.5,4,0.5,50,-0.000860552789327523,0.00095780936469325,0.000966736175343465,91
0.5,0.5,5,0.5,50,0.000605879548044654,0.00453779572981538,0.00458326125231176,93
0.5,0.5,1,0.5,60,0.0319075826434133,0.268344210256692,0.270026380228834,95
0.5,0.5,2,0.5,60,0.28944449273198,1.0731607091029,1.00312401965684,95.8904109589041
0.5,0.5,3,0.5,60,0.0169217850986532,0.0247417870564778,0.0247024648944977,96
0.5,0.5,4,0.5,60,-0.00528791831368933,0.000850990453681403,0.000831341791504194,98
