"gamma","sigma","p","ratio","B","G","alpha","beta","Bias_n","Var_n","Bias_p","Var_p"
0.25,1,0.5,5,1000,174,1,1,0.0197195230345919,0.08747409262605,-0.0431268071160128,0.0115233889329871
0.25,1,0.5,5,1000,176,1,1,-0.0156816745938227,0.161021704007828,0.036627189294397,0.00844937751808651
0.25,1,0.5,5,1000,178,1,1,0.0324754793114423,0.225397157296395,-0.0481696488989817,0.00896156049141966
0.25,1,0.5,5,1000,180,1,1,0.0385870556199209,0.152860121112251,0.0806690408864734,0.00556007729538834
0.25,1,0.5,5,1000,182,1,1,0.0551469754770137,0.149112962406021,0.0157278252842728,0.00591687740784694
0.25,1,0.5,5,1000,184,1,1,-0.0251652932941335,0.188029169081243,0.0275650200530454,0.00646114512556544
0.25,1,0.5,5,1000,186,1,1,-0.0448549845950471,0.0518886017695468,-0.0700518993740291,0.010522694873317
0.25,1,0.5,5,1000,188,1,1,-0.0982478547591832,0.174407332189417,-0.0199918094512004,0.00953686976468734
0.25,1,0.5,5,1000,190,1,1,0.0114306909813089,0.130459778239743,0.0153260016664322,0.0181260979004469
0.25,1,0.5,5,1000,192,1,1,0.1018886332636,0.146689024340629,0.047680387677585,0.0066567879571168
0.25,1,0.5,5,1000,194,1,1,-0.0539314939135487,0.0593491111509283,0.0111450388687049,0.00157358201829368
0.25,1,0.5,5,1000,196,1,1,0.0146310909198327,0.124895384284042,-0.0529683285579569,0.0056686731877538
0.25,1,0.5,5,1000,198,1,1,-0.0890437497564639,0.067117438478335,0.0594722666068372,0.0149933023649008
0.25,1,0.5,5,1000,200,1,1,0.0613580177659959,0.133869062810787,0.0377979115400044,0.00437004956152096
1,1,0.5,5,1000,2,1,1,0.0017907496639,0.0222557286071824,0.00543673946619401,0.00104723896790257
1,1,0.5,5,1000,4,1,1,-0.027742471411767,0.0418444636809635,-0.0090541240694715,0.00208548994864514
1,1,0.5,5,1000,6,1,1,-0.0352227006386938,0.0434951952216636,-0.0218896933788351,0.00234502262255719
1,1,0.5,5,1000,8,1,1,-0.0158861698659541,0.0386832866417191,0.00760523335876493,0.000783991611056035
1,1,0.5,5,1000,10,1,1,-0.00357673106515568,0.0486037934643032,-0.00510912676467128,0.0021685538879214
1,1,0.5,5,1000,12,1,1,0.00702679132748105,0.0198817063198247,0.00907532895567247,0.000756004681865938
1,1,0.5,5,1000,14,1,1,0.00509634687713794,0.0251533766661623,0.0028409671418576,0.000942965568836585
1,1,0.5,5,1000,16,1,1,0.00943680974106007,0.0307167093198998,-0.0159094003601012,0.00230206774221143
1,1,0.5,5,1000,18,1,1,0.0142200350228237,0.0319107933782673,0.0294282440878622,0.00106518367399018
1,1,0.5,5,1000,20,1,1,-0.00190396412940805,0.0478762556784405,0.00937447880793654,0.000752427517272736
1,1,0.5,5,1000,22,1,1,0.022072626089681,0.0458003941544507,-0.00455168555181298,0.00260045699332328
1,1,0.5,5,1000,24,1,1,-0.000683732039042729,0.0493531694763681,-0.0373304901846469,0.00188850694971759
1,1,0.5,5,1000,26,1,1,0.0134734467487067,0.0196627333291023,-0.00102093576157336,0.000885747183395677
1,1,0.5,5,1000,28,1,1,-0.0224000198071453,0.0426786368158179,-0.035541550035042,0.00157520209228468
1,1,0.5,5,1000,30,1,1,0.00149540307158738,0.0405239273828271,0.00640658936649974,0.000706787526047368
1,1,0.5,5,1000,32,1,1,-0.0167226088693685,0.0143818772049364,-0.0201125570141405,0.000280856189371386
1,1,0.5,5,1000,34,1,1,-0.022680449053232,0.0433786412240013,-0.00949487128933875,0.00126862483582583
1,1,0.5,5,1000,36,1,1,0.00541341069379839,0.0342647174213254,0.00507769487638399,0.00124982369089355
1,1,0.5,5,1000,38,1,1,0.0188713786807621,0.0244512763313225,0.0137270099773517,0.00103241218405229
1,1,0.5,5,1000,40,1,1,-0.0074601539852285,0.0351265446566049,0.0280006807678723,0.000504715648374978
1,1,0.5,5,1000,42,1,1,0.0157041130348045,0.0354893950954445,0.0279452470249703,0.00106692472286985
1,1,0.5,5,1000,44,1,1,0.0367946894196449,0.0126692043142869,0.0201540346681805,0.00157505799883199
1,1,0.5,5,1000,46,1,1,-0.0274067009154545,0.038906048511842,-0.0190924574271335,0.000552980769302384
1,1,0.5,5,1000,48,1,1,-0.00327921900137216,0.0487706867801895,0.00802067243313185,0.000449237608377327
1,1,0.5,5,1000,50,1,1,-0.00365049111621527,0.0239431992831009,-0.0139274990319624,0.000816530336233593
1,1,0.5,5,1000,52,1,1,-0.00487373922678735,0.034867597958924,-0.00452245148682615,0.000526096909871205
1,1,0.5,5,1000,54,1,1,-0.0369780392397494,0.0476771422222776,-0.0309905873749307,0.000680804517737618
1,1,0.5,5,1000,56,1,1,0.0164022623063654,0.0646379029374881,0.0130560335488473,0.00214050706525479
1,1,0.5,5,1000,58,1,1,-0.00635186544314681,0.0258887098086194,0.0322953991234184,0.00151044504508432
1,1,0.5,5,1000,60,1,1,0.0162912006135617,0.0382712883938741,-0.00807459528903924,0.00022188502345164
1,1,0.5,5,1000,62,1,1,-0.0158256948648674,0.02057369487892,-0.042116245708999,0.00182112464128925
1,1,0.5,5,1000,64,1,1,0.00809833363008694,0.0250406936357453,-0.00261603911948818,0.00186479387106144
1,1,0.5,5,1000,66,1,1,0.00994463637306933,0.0372138365503984,0.0211464685342988,0.000955998893891231
1,1,0.5,5,1000,68,1,1,0.0325155901703739,0.0500413130468642,0.0251053026058965,0.000959281625438687
1,1,0.5,5,1000,70,1,1,-0.00081376723597506,0.030578300839488,-0.0006773501181335,0.00105833448919893
1,1,0.5,5,1000,72,1,1,-0.0167148642331619,0.0665634696837401,-0.0238721760350967,0.00303153192533076
1,1,0.5,5,1000,74,1,1,0.00698695454846814,0.0508332746224831,0.00316409523026042,0.00143376395964662
1,1,0.5,5,1000,76,1,1,0.0169425959038298,0.054186688165004,0.0119451117306692,0.000940067793084882
1,1,0.5,5,1000,78,1,1,-0.0105131798905985,0.0425388079700805,-0.00694094458111658,0.000549923075083861
1,1,0.5,5,1000,80,1,1,-0.016179437852221,0.014830993412448,-0.0261841509053832,0.00115495444166616
1,1,0.5,5,1000,82,1,1,0.00822353057914265,0.0566899721353111,0.0159654711784704,0.000688833051406884
1,1,0.5,5,1000,84,1,1,0.00439344483977207,0.015543303492676,-0.00153475929488589,0.000341598638339951
1,1,0.5,5,1000,86,1,1,-0.0231612561153821,0.0473137369553838,-0.00775879672803302,0.00728546966043118
1,1,0.5,5,1000,88,1,1,-0.0197965443998001,0.0452915487502913,-0.020234599053038,0.000894756449636814
1,1,0.5,5,1000,90,1,1,0.0208282016380684,0.0326529598603332,0.00126467464109883,0.00313953582601192
1,1,0.5,5,1000,92,1,1,0.00738796171781118,0.0182769128497593,0.00072121600984549,0.00141037033520701
1,1,0.5,5,1000,94,1,1,-0.000663389131962668,0.0455973832598881,-0.0189447758329747,0.000506707727475488
1,1,0.5,5,1000,96,1,1,-0.0130780032647684,0.0451576230424204,0.000944745132363024,0.00108388162163461
1,1,0.5,5,1000,98,1,1,0.0148464806965017,0.0239538545288392,0.0111624636654208,0.00076116991004955
1,1,0.5,5,1000,100,1,1,-0.00597649257867711,0.0453604936570782,0.00637634420695537,0.000998061801085557
1,1,0.5,5,1000,102,1,1,0.00851175194843528,0.0829712796114026,0.0158011457748761,0.00280254895834266
1,1,0.5,5,1000,104,1,1,-0.0282114675488128,0.0537985830688053,-0.00539083853006843,0.00461382588635673
1,1,0.5,5,1000,106,1,1,-0.0100579781309263,0.0257434583062625,-0.0130744907229914,0.000741336481811782
1,1,0.5,5,1000,108,1,1,-0.0408091063359131,0.0427163439970834,-0.0249390781994885,0.00298375892824942
1,1,0.5,5,1000,110,1,1,-0.0293904612232648,0.0470725712130607,-0.0116934167805755,0.00148956970387538
1,1,0.5,5,1000,112,1,1,-0.000963032661671232,0.0824360303381741,-0.00845208919341935,0.00717814778713252
1,1,0.5,5,1000,114,1,1,0.00435622537770046,0.0353568054009895,0.0162424998017786,0.00179894532332326
1,1,0.5,5,1000,116,1,1,0.000484012181129052,0.0743671951868754,0.025627182617706,0.00160877354899323
1,1,0.5,5,1000,118,1,1,-0.0281156913716933,0.0359453979638629,0.00619512597562675,0.000187851044028088
1,1,0.5,5,1000,120,1,1,0.0343506878836686,0.0399329501253101,0.00820313061941711,0.0004039852433803
1,1,0.5,5,1000,122,1,1,-0.00962209763892535,0.0540354910951867,0.0056196963216137,0.00139175553474952
1,1,0.5,5,1000,124,1,1,0.0205344382061605,0.0312647393473666,0.015171223359927,0.000663433143171451
1,1,0.5,5,1000,126,1,1,-0.0154007598686755,0.0357550455656305,0.0116910490341477,0.00199649016277074
1,1,0.5,5,1000,128,1,1,0.0255303511329893,0.0584231786579936,0.0113528404247813,0.00473368066606664
1,1,0.5,5,1000,130,1,1,-0.0107484985806841,0.0487281496900125,0.017792357880315,0.000764270536917159
1,1,0.5,5,1000,132,1,1,0.0138516157666226,0.0197979232539606,-0.00876402443168907,9.69694680521132e-05
1,1,0.5,5,1000,134,1,1,0.0104838917984196,0.0434177686496772,-0.0154788998408269,0.00512884660080246
1,1,0.5,5,1000,136,1,1,-0.00957202543856921,0.0552987714004923,-0.00539594552488078,0.00438798856102408
1,1,0.5,5,1000,138,1,1,0.00897308035877003,0.0402258166963399,0.0131166785771831,0.00104481891510569
1,1,0.5,5,1000,140,1,1,0.0118202170227472,0.0616339250977478,0.0242956514680518,0.0023439873562338
1,1,0.5,5,1000,142,1,1,8.00684059363732e-05,0.0599324150015726,0.0032479067865075,0.00277465356951475
1,1,0.5,5,1000,144,1,1,0.0193805409003115,0.0491030943701235,0.0108795261368827,0.00476523270533023
1,1,0.5,5,1000,146,1,1,0.00500082058706646,0.0680385775369726,-0.0132164716168547,0.00526830838652593
1,1,0.5,5,1000,148,1,1,-0.0046120780806701,0.0934627841292432,-0.0271939468683403,0.00251328757113924
1,1,0.5,5,1000,150,1,1,0.0418763112541197,0.037598947207404,0.0387194049619408,0.00224895934098172
1,1,0.5,5,1000,152,1,1,-0.00161857634029876,0.058147556663449,-0.027613112716111,0.0026737188420261
1,1,0.5,5,1000,154,1,1,-0.00879241514181423,0.0526182505849636,0.00754492219094594,0.0033608829559177
1,1,0.5,5,1000,156,1,1,0.0327279974695599,0.0767755874987556,-0.00563194856763052,0.0096489537943419
1,1,0.5,5,1000,158,1,1,-0.0380796756470577,0.06574296685461,0.0132519497621305,0.00326580542810209
1,1,0.5,5,1000,160,1,1,0.00691215502891049,0.0541315014828635,-0.0134993620049226,0.00150101693706573
1,1,0.5,5,1000,162,1,1,0.0293221652581,0.0690378908584465,0.0393701665812491,0.000327853179013798
1,1,0.5,5,1000,164,1,1,-0.030874646297863,0.0460493989880403,-0.0125744871382119,0.00163417600671734
1,1,0.5,5,1000,166,1,1,-0.0688758568907385,0.0745840349027275,0.0259677675400046,0.00210969857136466
1,1,0.5,5,1000,168,1,1,-0.0436524016911549,0.0356117666044697,-0.0390718060805175,0.0068426266114304
1,1,0.5,5,1000,170,1,1,0.0112045418263433,0.0317101007786564,0.00141342137089294,0.00927787016031748
1,1,0.5,5,1000,172,1,1,0.00473341697826952,0.0467056055606543,0.00404037006836206,0.00360035937156033
1,1,0.5,5,1000,174,1,1,-0.0449175239349173,0.0662006354615096,0.0341192641912314,0.00594086669149826
1,1,0.5,5,1000,176,1,1,-0.0653471704787474,0.0733854624149508,-0.0419180539787058,0.000818405728344902
1,1,0.5,5,1000,178,1,1,-0.0355375915648505,0.0684420315015177,-0.0257735654562083,0.00238220556151862
1,1,0.5,5,1000,180,1,1,-0.0254239831112938,0.0739323903874882,0.0129064960132365,0.00318560497718451
1,1,0.5,5,1000,182,1,1,0.00191374860283768,0.0640305154544101,-0.0013121519771339,0.00653289317160046
1,1,0.5,5,1000,184,1,1,0.0268357157065396,0.0620921927568286,-0.024639329236141,0.00401062131585356
1,1,0.5,5,1000,186,1,1,0.00931189186017821,0.121128763568925,-0.0283486461398531,0.00539263623272401
1,1,0.5,5,1000,188,1,1,-0.0709588295953156,0.0499523290247056,-0.0520276095432826,0.000731327373677724
1,1,0.5,5,1000,190,1,1,0.038254594475729,0.0472117589222313,0.0312195057402983,0.00149480668488506
1,1,0.5,5,1000,192,1,1,-0.0430549023936746,0.0655989688514285,-0.0176370593941984,0.00220090653529256
1,1,0.5,5,1000,194,1,1,-0.00135904115000412,0.0543623376683224,-0.0299839814552667,0.0117946389411427
1,1,0.5,5,1000,196,1,1,-0.00624826252157786,0.0945622009936146,0.00330264131896874,0.00136962680704488
1,1,0.5,5,1000,198,1,1,0.0562867595111489,0.0858922182660195,0.0136052006921628,0.00662341527682593
1,1,0.5,5,1000,200,1,1,0.0038848824967777,0.0482546181370869,-0.000775671592278602,0.00206441538562179
5,1,0.5,5,1000,2,1,1,0.00246293677158758,0.241289011785092,0.130548328903434,0.559962687831019
5,1,0.5,5,1000,4,1,1,-0.131858516322533,0.134050882485055,-0.31573309785365,0.101444763029387
5,1,0.5,5,1000,6,1,1,-0.115638770183165,0.16438004324989,-0.0348936851340303,0.0816585349238231
5,1,0.5,5,1000,8,1,1,-0.122869254027051,0.123857290104785,-0.220442207836583,0.0438247519661274
5,1,0.5,5,1000,10,1,1,-0.00267263752944665,0.133976473012043,-0.0577252729078226,0.0896532655588531
5,1,0.5,5,1000,12,1,1,0.0492827781184189,0.137521145652725,0.0168931475622957,0.277601359488632
5,1,0.5,5,1000,14,1,1,-0.000817606291207007,0.22998119273353,0.110158578839092,0.123363551520385
5,1,0.5,5,1000,16,1,1,0.0572016238143297,0.143648572551533,-0.0166885326873079,0.178269008995598
5,1,0.5,5,1000,18,1,1,-0.0304865445931163,0.0854697214438054,0.0226099127002973,0.0585380358044714
5,1,0.5,5,1000,20,1,1,0.0776121327719609,0.0739617314149641,0.139872462513731,0.0378113326925506
5,1,0.5,5,1000,22,1,1,0.0466263763534223,0.232200020031961,0.279345455362425,0.0607467177823335
5,1,0.5,5,1000,24,1,1,0.0122067122409242,0.218813809789841,-0.0606611885468868,0.0805729866171581
5,1,0.5,5,1000,26,1,1,-0.00158795147016484,0.10558544127111,0.0943828155398717,0.103689839503286
5,1,0.5,5,1000,28,1,1,-0.0728786208838652,0.134614376783177,-0.198784591234775,0.100955529608634
5,1,0.5,5,1000,30,1,1,0.0405921237923761,0.205736602554178,0.157855463469224,0.0543090496734455
5,1,0.5,5,1000,32,1,1,0.154291808749325,0.143280799660726,0.224283083782839,0.209280798190399
5,1,0.5,5,1000,34,1,1,-0.0574286916877552,0.159138567231849,-0.0294215366102041,0.0107860635680798
5,1,0.5,5,1000,36,1,1,0.0124371195488956,0.214746751441231,0.0524575772195431,0.182735176920706
5,1,0.5,5,1000,38,1,1,0.00395984651754395,0.151467849776174,-0.206745897643905,0.0927004494185614
5,1,0.5,5,1000,40,1,1,-0.0743448822589856,0.168743659901226,0.0182411009168493,0.188971265057886
5,1,0.5,5,1000,42,1,1,0.116695665704562,0.0813115902408124,0.258639614336802,0.011277214260055
5,1,0.5,5,1000,44,1,1,0.0599158596671519,0.146012667967709,-0.0496280288107193,0.109995497897794
5,1,0.5,5,1000,46,1,1,0.0807234819419459,0.120543445275292,-0.00606174498264322,0.0462036425158554
5,1,0.5,5,1000,48,1,1,-0.0194042214142989,0.0801396242937708,0.0194946088537067,0.035596413238917
5,1,0.5,5,1000,50,1,1,0.103107862620616,0.135894241303258,0.154880538267135,0.0288105881689211
5,1,0.5,5,1000,52,1,1,-0.0244511241113433,0.123740634201226,-0.0510218789849609,0.0199567464864454
5,1,0.5,5,1000,54,1,1,-0.092984685773345,0.224445150295318,-0.095089424345742,0.0449018610079293
5,1,0.5,5,1000,56,1,1,-0.0220380161767653,0.181998327745162,-0.1099585702455,0.0732496394909342
5,1,0.5,5,1000,58,1,1,-0.122981292816998,0.1110579727003,-0.129466147584769,0.0963109236163067
5,1,0.5,5,1000,60,1,1,-0.0920427769868387,0.0711938747227351,-0.0560925672157958,0.0546910602821679
5,1,0.5,5,1000,62,1,1,-0.161914127218561,0.134862655134025,-0.082660234538998,0.0268379768838393
5,1,0.5,5,1000,64,1,1,-0.118005696931497,0.183079116319893,-0.063284430882797,0.0121201003484167
5,1,0.5,5,1000,66,1,1,0.00496002507373128,0.0893151225959214,0.177752075736757,0.170054548668215
5,1,0.5,5,1000,68,1,1,-0.00262059792497767,0.146647284618472,0.0841213175922022,0.0308716292258308
5,1,0.5,5,1000,70,1,1,-0.0196128852321503,0.128443788664186,0.0600036310772237,0.0220835670689904
5,1,0.5,5,1000,72,1,1,0.112888435637211,0.110045621866902,0.0587597577691867,0.0997873174049239
5,1,0.5,5,1000,74,1,1,0.017699270605919,0.22177617913372,-0.00780188580483165,0.0697089009228544
5,1,0.5,5,1000,76,1,1,0.101038867845032,0.199389569137192,0.0798498616870578,0.0787697146278631
5,1,0.5,5,1000,78,1,1,-0.0693102940787611,0.177519231559452,-0.101476135671382,0.115358863710008
5,1,0.5,5,1000,80,1,1,0.000155826979381168,0.280342771678687,0.108336335283374,0.0436309681023462
5,1,0.5,5,1000,82,1,1,-0.152236708394059,0.0746336130375233,-0.169154802718252,0.0276094219390216
5,1,0.5,5,1000,84,1,1,-0.0221693852107593,0.105815569473856,0.0482395039016265,0.0315990385976728
5,1,0.5,5,1000,86,1,1,0.203511558589242,0.199069399887882,0.365260720434126,0.0917053640133006
5,1,0.5,5,1000,88,1,1,-0.045570847838009,0.171221664059092,-0.0114677867307774,0.117983067624351
5,1,0.5,5,1000,90,1,1,0.0138482509768793,0.131238111250206,0.0694256286245132,0.015740516774991
5,1,0.5,5,1000,92,1,1,0.0853890702715995,0.193847807234027,0.153055939317817,0.0943785647587396
